HitRate, AccessCounter
0, 0
50, 1
66.67, 2
75, 3
80, 4
83.33, 5
85.71, 6
87.5, 7
88.89, 8
80, 9
81.82, 10
83.33, 11
84.62, 12
85.71, 13
86.67, 14
81.25, 15
82.35, 16
83.33, 17
84.21, 18
85, 19
85.71, 20
86.36, 21
86.96, 22
87.5, 23
88, 24
88.46, 25
85.19, 26
82.14, 27
79.31, 28
80, 29
80.65, 30
81.25, 31
81.82, 32
82.35, 33
82.86, 34
83.33, 35
81.08, 36
78.95, 37
79.49, 38
77.5, 39
78.05, 40
78.57, 41
79.07, 42
79.55, 43
80, 44
80.43, 45
80.85, 46
81.25, 47
81.63, 48
80, 49
80.39, 50
78.85, 51
79.25, 52
79.63, 53
80, 54
80.36, 55
80.7, 56
81.03, 57
79.66, 58
78.33, 59
78.69, 60
79.03, 61
79.37, 62
79.69, 63
80, 64
80.3, 65
79.1, 66
79.41, 67
78.26, 68
78.57, 69
78.87, 70
79.17, 71
79.45, 72
78.38, 73
78.67, 74
77.63, 75
77.92, 76
78.21, 77
78.48, 78
77.5, 79
77.78, 80
76.83, 81
77.11, 82
77.38, 83
77.65, 84
76.74, 85
77.01, 86
77.27, 87
77.53, 88
77.78, 89
78.02, 90
78.26, 91
78.49, 92
77.66, 93
77.89, 94
78.13, 95
78.35, 96
78.57, 97
78.79, 98
79, 99
79.21, 100
79.41, 101
79.61, 102
79.81, 103
80, 104
80.19, 105
80.37, 106
80.56, 107
80.73, 108
80, 109
80.18, 110
80.36, 111
80.53, 112
80.7, 113
80.87, 114
81.03, 115
81.2, 116
81.36, 117
81.51, 118
81.67, 119
81.82, 120
81.97, 121
82.11, 122
82.26, 123
81.6, 124
81.75, 125
81.89, 126
82.03, 127
82.17, 128
82.31, 129
82.44, 130
82.58, 131
82.71, 132
82.84, 133
82.96, 134
83.09, 135
83.21, 136
83.33, 137
83.45, 138
82.86, 139
82.27, 140
82.39, 141
81.82, 142
81.25, 143
81.38, 144
81.51, 145
81.63, 146
81.76, 147
81.88, 148
82, 149
82.12, 150
82.24, 151
81.7, 152
81.17, 153
81.29, 154
81.41, 155
81.53, 156
81.65, 157
81.13, 158
81.25, 159
81.37, 160
80.86, 161
80.37, 162
79.88, 163
79.39, 164
79.52, 165
79.64, 166
79.76, 167
79.88, 168
80, 169
80.12, 170
80.23, 171
79.77, 172
79.89, 173
80, 174
80.11, 175
80.23, 176
80.34, 177
80.45, 178
80.56, 179
80.66, 180
80.22, 181
79.78, 182
79.35, 183
78.92, 184
79.03, 185
79.14, 186
79.26, 187
78.84, 188
78.95, 189
78.53, 190
78.65, 191
78.76, 192
78.87, 193
78.46, 194
78.57, 195
78.17, 196
78.28, 197
78.39, 198
78.5, 199
78.61, 200
78.71, 201
78.82, 202
78.92, 203
79.02, 204
79.13, 205
78.74, 206
78.85, 207
78.95, 208
79.05, 209
79.15, 210
79.25, 211
78.87, 212
78.97, 213
79.07, 214
79.17, 215
79.26, 216
79.36, 217
79, 218
79.09, 219
79.19, 220
78.83, 221
78.92, 222
79.02, 223
79.11, 224
78.76, 225
78.85, 226
78.95, 227
79.04, 228
79.13, 229
79.22, 230
79.31, 231
79.4, 232
79.06, 233
79.15, 234
79.24, 235
79.32, 236
79.41, 237
79.5, 238
79.58, 239
79.67, 240
79.34, 241
79.01, 242
78.69, 243
78.78, 244
78.86, 245
78.95, 246
79.03, 247
79.12, 248
79.2, 249
79.28, 250
79.37, 251
79.05, 252
79.13, 253
79.22, 254
79.3, 255
79.38, 256
79.07, 257
79.15, 258
79.23, 259
79.31, 260
79.39, 261
79.47, 262
79.55, 263
79.62, 264
79.7, 265
79.78, 266
79.48, 267
79.55, 268
79.63, 269
79.7, 270
79.41, 271
79.49, 272
79.56, 273
79.27, 274
78.99, 275
78.7, 276
78.78, 277
78.85, 278
78.93, 279
79, 280
79.08, 281
79.15, 282
79.23, 283
79.3, 284
79.37, 285
79.44, 286
79.17, 287
78.89, 288
78.97, 289
79.04, 290
79.11, 291
79.18, 292
79.25, 293
79.32, 294
79.05, 295
79.12, 296
79.19, 297
79.26, 298
79.33, 299
79.4, 300
79.47, 301
79.54, 302
79.61, 303
79.67, 304
79.74, 305
79.8, 306
79.55, 307
79.29, 308
79.03, 309
79.1, 310
78.85, 311
78.91, 312
78.66, 313
78.73, 314
78.48, 315
78.55, 316
78.62, 317
78.68, 318
78.75, 319
78.82, 320
78.88, 321
78.95, 322
79.01, 323
79.08, 324
79.14, 325
78.9, 326
78.66, 327
78.72, 328
78.79, 329
78.85, 330
78.92, 331
78.98, 332
79.04, 333
79.1, 334
79.17, 335
78.93, 336
78.99, 337
79.06, 338
79.12, 339
79.18, 340
79.24, 341
79.3, 342
79.36, 343
79.42, 344
79.48, 345
79.54, 346
79.6, 347
79.66, 348
79.43, 349
79.2, 350
79.26, 351
79.32, 352
79.38, 353
79.15, 354
79.21, 355
79.27, 356
79.33, 357
79.39, 358
79.17, 359
79.22, 360
79.28, 361
79.34, 362
79.12, 363
79.18, 364
78.96, 365
79.02, 366
79.08, 367
79.13, 368
79.19, 369
79.25, 370
79.3, 371
79.36, 372
79.41, 373
79.47, 374
79.52, 375
79.58, 376
79.63, 377
79.68, 378
79.74, 379
79.79, 380
79.84, 381
79.9, 382
79.95, 383
80, 384
80.05, 385
80.1, 386
80.15, 387
80.21, 388
80.26, 389
80.05, 390
80.1, 391
80.15, 392
79.95, 393
80, 394
80.05, 395
80.1, 396
80.15, 397
80.2, 398
80.25, 399
80.3, 400
80.35, 401
80.4, 402
80.45, 403
80.49, 404
80.54, 405
80.59, 406
80.64, 407
80.44, 408
80.49, 409
80.54, 410
80.34, 411
80.39, 412
80.43, 413
80.48, 414
80.53, 415
80.58, 416
80.62, 417
80.43, 418
80.48, 419
80.52, 420
80.57, 421
80.61, 422
80.66, 423
80.47, 424
80.52, 425
80.56, 426
80.37, 427
80.42, 428
80.47, 429
80.51, 430
80.56, 431
80.6, 432
80.65, 433
80.69, 434
80.73, 435
80.78, 436
80.82, 437
80.87, 438
80.91, 439
80.95, 440
81, 441
81.04, 442
81.08, 443
81.12, 444
81.17, 445
81.21, 446
81.25, 447
81.29, 448
81.33, 449
81.37, 450
81.42, 451
81.46, 452
81.28, 453
81.32, 454
81.14, 455
81.18, 456
81.22, 457
81.26, 458
81.3, 459
81.34, 460
81.39, 461
81.21, 462
81.25, 463
81.29, 464
81.33, 465
81.37, 466
81.41, 467
81.45, 468
81.49, 469
81.53, 470
81.57, 471
81.61, 472
81.65, 473
81.68, 474
81.72, 475
81.55, 476
81.59, 477
81.63, 478
81.67, 479
81.7, 480
81.74, 481
81.78, 482
81.61, 483
81.65, 484
81.69, 485
81.72, 486
81.76, 487
81.8, 488
81.63, 489
81.67, 490
81.71, 491
81.74, 492
81.78, 493
81.82, 494
81.85, 495
81.89, 496
81.93, 497
81.96, 498
82, 499
82.04, 500
82.07, 501
81.91, 502
81.94, 503
81.98, 504
82.02, 505
82.05, 506
81.89, 507
81.93, 508
81.76, 509
81.8, 510
81.84, 511
81.87, 512
81.91, 513
81.94, 514
81.98, 515
82.01, 516
81.85, 517
81.89, 518
81.92, 519
81.96, 520
81.99, 521
82.03, 522
82.06, 523
82.1, 524
82.13, 525
82.16, 526
82.2, 527
82.23, 528
