HitRate, AccessCounter
0, 0
0, 1
0, 2
0, 3
0, 4
0, 5
14.29, 6
12.5, 7
11.11, 8
10, 9
9.09, 10
8.33, 11
15.38, 12
14.29, 13
13.33, 14
12.5, 15
11.76, 16
16.67, 17
21.05, 18
25, 19
23.81, 20
27.27, 21
30.43, 22
29.17, 23
28, 24
30.77, 25
29.63, 26
32.14, 27
34.48, 28
33.33, 29
32.26, 30
31.25, 31
33.33, 32
35.29, 33
37.14, 34
36.11, 35
35.14, 36
34.21, 37
33.33, 38
32.5, 39
31.71, 40
30.95, 41
32.56, 42
31.82, 43
33.33, 44
32.61, 45
31.91, 46
31.25, 47
30.61, 48
30, 49
29.41, 50
30.77, 51
30.19, 52
29.63, 53
30.91, 54
32.14, 55
33.33, 56
32.76, 57
33.9, 58
35, 59
34.43, 60
33.87, 61
33.33, 62
32.81, 63
33.85, 64
33.33, 65
32.84, 66
32.35, 67
31.88, 68
32.86, 69
33.8, 70
34.72, 71
35.62, 72
36.49, 73
36, 74
35.53, 75
36.36, 76
37.18, 77
37.97, 78
37.5, 79
38.27, 80
37.8, 81
37.35, 82
38.1, 83
38.82, 84
39.53, 85
40.23, 86
40.91, 87
41.57, 88
42.22, 89
42.86, 90
43.48, 91
44.09, 92
44.68, 93
45.26, 94
45.83, 95
45.36, 96
45.92, 97
45.45, 98
46, 99
45.54, 100
45.1, 101
44.66, 102
44.23, 103
44.76, 104
44.34, 105
44.86, 106
45.37, 107
44.95, 108
44.55, 109
45.05, 110
44.64, 111
45.13, 112
45.61, 113
45.22, 114
44.83, 115
45.3, 116
45.76, 117
46.22, 118
46.67, 119
46.28, 120
46.72, 121
47.15, 122
46.77, 123
46.4, 124
46.83, 125
46.46, 126
46.88, 127
47.29, 128
47.69, 129
48.09, 130
48.48, 131
48.12, 132
48.51, 133
48.89, 134
49.26, 135
48.91, 136
49.28, 137
49.64, 138
50, 139
50.35, 140
50.7, 141
51.05, 142
51.39, 143
51.72, 144
52.05, 145
52.38, 146
52.7, 147
53.02, 148
53.33, 149
53.64, 150
53.29, 151
53.59, 152
53.9, 153
54.19, 154
54.49, 155
54.78, 156
55.06, 157
55.35, 158
55.63, 159
55.9, 160
55.56, 161
55.21, 162
54.88, 163
54.55, 164
54.22, 165
54.49, 166
54.17, 167
53.85, 168
53.53, 169
53.22, 170
52.91, 171
52.6, 172
52.3, 173
52, 174
51.7, 175
51.98, 176
51.69, 177
51.4, 178
51.67, 179
51.93, 180
52.2, 181
51.91, 182
51.63, 183
51.35, 184
51.61, 185
51.87, 186
51.6, 187
51.85, 188
51.58, 189
51.31, 190
51.04, 191
51.3, 192
51.03, 193
50.77, 194
50.51, 195
50.76, 196
50.51, 197
50.25, 198
50, 199
49.75, 200
50, 201
50.25, 202
50.49, 203
50.73, 204
50.97, 205
51.21, 206
51.44, 207
51.67, 208
51.43, 209
51.18, 210
50.94, 211
50.7, 212
50.93, 213
51.16, 214
51.39, 215
51.15, 216
51.38, 217
51.14, 218
50.91, 219
50.68, 220
50.45, 221
50.67, 222
50.45, 223
50.22, 224
50.44, 225
50.22, 226
50, 227
50.22, 228
50, 229
50.22, 230
50.43, 231
50.64, 232
50.85, 233
51.06, 234
51.27, 235
51.48, 236
51.68, 237
51.88, 238
51.67, 239
51.87, 240
51.65, 241
51.85, 242
52.05, 243
52.24, 244
52.44, 245
52.63, 246
52.82, 247
52.61, 248
52.8, 249
52.99, 250
52.78, 251
52.96, 252
52.76, 253
52.94, 254
52.73, 255
52.92, 256
53.1, 257
52.9, 258
53.08, 259
52.87, 260
53.05, 261
53.23, 262
53.41, 263
53.58, 264
53.76, 265
53.93, 266
54.1, 267
53.9, 268
54.07, 269
53.87, 270
54.04, 271
54.21, 272
54.38, 273
54.18, 274
53.99, 275
54.15, 276
53.96, 277
54.12, 278
54.29, 279
54.45, 280
54.61, 281
54.77, 282
54.58, 283
54.39, 284
54.2, 285
54.01, 286
53.82, 287
53.63, 288
53.45, 289
53.26, 290
53.08, 291
52.9, 292
52.72, 293
52.54, 294
52.36, 295
52.19, 296
52.01, 297
51.84, 298
52, 299
51.83, 300
51.99, 301
52.15, 302
51.97, 303
51.8, 304
51.96, 305
52.12, 306
51.95, 307
51.78, 308
51.94, 309
51.77, 310
51.92, 311
51.76, 312
51.91, 313
51.75, 314
51.9, 315
52.05, 316
52.2, 317
