HitRate, AccessCounter
0, 0
50, 1
33.33, 2
50, 3
60, 4
66.67, 5
71.43, 6
75, 7
77.78, 8
80, 9
81.82, 10
83.33, 11
84.62, 12
85.71, 13
86.67, 14
87.5, 15
88.24, 16
88.89, 17
89.47, 18
90, 19
90.48, 20
90.91, 21
91.3, 22
91.67, 23
92, 24
92.31, 25
92.59, 26
92.86, 27
93.1, 28
93.33, 29
93.55, 30
93.75, 31
93.94, 32
94.12, 33
94.29, 34
94.44, 35
94.59, 36
94.74, 37
94.87, 38
95, 39
95.12, 40
95.24, 41
95.35, 42
95.45, 43
95.56, 44
95.65, 45
95.74, 46
95.83, 47
95.92, 48
96, 49
96.08, 50
96.15, 51
96.23, 52
96.3, 53
96.36, 54
96.43, 55
96.49, 56
96.55, 57
96.61, 58
96.67, 59
96.72, 60
96.77, 61
96.83, 62
96.88, 63
96.92, 64
96.97, 65
97.01, 66
97.06, 67
97.1, 68
97.14, 69
97.18, 70
97.22, 71
97.26, 72
97.3, 73
97.33, 74
97.37, 75
97.4, 76
97.44, 77
97.47, 78
97.5, 79
97.53, 80
97.56, 81
97.59, 82
97.62, 83
97.65, 84
97.67, 85
97.7, 86
97.73, 87
97.75, 88
97.78, 89
97.8, 90
97.83, 91
97.85, 92
97.87, 93
97.89, 94
97.92, 95
96.91, 96
96.94, 97
96.97, 98
97, 99
97.03, 100
97.06, 101
97.09, 102
97.12, 103
97.14, 104
97.17, 105
97.2, 106
97.22, 107
97.25, 108
97.27, 109
97.3, 110
97.32, 111
97.35, 112
97.37, 113
97.39, 114
97.41, 115
97.44, 116
97.46, 117
97.48, 118
97.5, 119
97.52, 120
97.54, 121
97.56, 122
97.58, 123
97.6, 124
97.62, 125
97.64, 126
97.66, 127
97.67, 128
97.69, 129
97.71, 130
97.73, 131
97.74, 132
97.76, 133
97.78, 134
97.79, 135
97.81, 136
97.83, 137
97.84, 138
97.86, 139
97.87, 140
97.89, 141
97.9, 142
97.92, 143
97.93, 144
97.95, 145
97.96, 146
97.97, 147
97.99, 148
98, 149
98.01, 150
98.03, 151
98.04, 152
98.05, 153
98.06, 154
98.08, 155
98.09, 156
98.1, 157
98.11, 158
98.13, 159
98.14, 160
98.15, 161
98.16, 162
98.17, 163
98.18, 164
98.19, 165
98.2, 166
98.21, 167
98.22, 168
98.24, 169
98.25, 170
98.26, 171
98.27, 172
98.28, 173
98.29, 174
98.3, 175
98.31, 176
98.31, 177
98.32, 178
98.33, 179
98.34, 180
98.35, 181
98.36, 182
98.37, 183
98.38, 184
98.39, 185
98.4, 186
98.4, 187
98.41, 188
98.42, 189
98.43, 190
98.44, 191
98.45, 192
98.45, 193
98.46, 194
98.47, 195
98.48, 196
98.48, 197
98.49, 198
98.5, 199
98.51, 200
98.51, 201
98.52, 202
98.53, 203
98.54, 204
98.54, 205
98.55, 206
98.56, 207
98.56, 208
98.57, 209
98.58, 210
98.58, 211
98.59, 212
98.6, 213
98.6, 214
98.61, 215
98.62, 216
98.62, 217
98.63, 218
98.64, 219
98.64, 220
98.65, 221
98.65, 222
98.66, 223
98.67, 224
98.67, 225
98.68, 226
98.68, 227
98.69, 228
98.7, 229
98.7, 230
98.71, 231
98.71, 232
98.72, 233
98.72, 234
98.73, 235
98.73, 236
98.74, 237
98.74, 238
98.75, 239
98.76, 240
98.76, 241
98.77, 242
98.77, 243
98.78, 244
98.78, 245
98.79, 246
98.79, 247
98.8, 248
98.8, 249
98.41, 250
98.41, 251
98.42, 252
98.43, 253
98.43, 254
98.44, 255
98.44, 256
98.45, 257
98.46, 258
98.46, 259
98.47, 260
98.47, 261
98.48, 262
98.48, 263
98.49, 264
98.5, 265
98.5, 266
98.51, 267
98.51, 268
98.52, 269
98.52, 270
98.53, 271
98.53, 272
98.54, 273
98.55, 274
98.55, 275
98.56, 276
98.56, 277
98.57, 278
98.57, 279
98.58, 280
98.58, 281
98.59, 282
98.59, 283
98.6, 284
98.6, 285
98.61, 286
98.61, 287
98.62, 288
98.62, 289
98.63, 290
98.63, 291
98.63, 292
98.64, 293
98.64, 294
98.65, 295
98.65, 296
98.66, 297
98.66, 298
98.67, 299
98.67, 300
98.68, 301
98.68, 302
98.68, 303
98.69, 304
98.69, 305
98.7, 306
98.7, 307
98.71, 308
98.71, 309
98.71, 310
98.72, 311
98.72, 312
98.73, 313
98.73, 314
98.73, 315
98.74, 316
98.74, 317
98.75, 318
98.75, 319
98.75, 320
98.76, 321
98.76, 322
98.77, 323
98.77, 324
98.77, 325
98.78, 326
98.78, 327
98.78, 328
98.79, 329
98.79, 330
98.8, 331
98.8, 332
98.8, 333
98.81, 334
98.81, 335
98.81, 336
98.82, 337
98.82, 338
98.82, 339
98.83, 340
98.83, 341
98.83, 342
98.84, 343
98.84, 344
98.84, 345
98.85, 346
98.85, 347
98.85, 348
98.86, 349
98.86, 350
98.86, 351
98.87, 352
98.87, 353
98.87, 354
98.88, 355
98.88, 356
98.88, 357
98.89, 358
98.89, 359
98.89, 360
98.9, 361
98.9, 362
98.9, 363
98.9, 364
98.91, 365
98.91, 366
98.91, 367
98.92, 368
98.92, 369
98.92, 370
98.92, 371
98.93, 372
98.93, 373
98.93, 374
98.94, 375
98.94, 376
98.94, 377
98.94, 378
98.95, 379
98.95, 380
98.95, 381
98.96, 382
98.96, 383
98.96, 384
98.96, 385
98.97, 386
98.97, 387
98.97, 388
98.97, 389
98.98, 390
98.98, 391
98.98, 392
98.98, 393
98.99, 394
98.99, 395
98.99, 396
98.99, 397
99, 398
99, 399
99, 400
99, 401
99.01, 402
99.01, 403
99.01, 404
99.01, 405
99.02, 406
99.02, 407
99.02, 408
99.02, 409
99.03, 410
99.03, 411
99.03, 412
99.03, 413
99.04, 414
99.04, 415
99.04, 416
99.04, 417
99.05, 418
99.05, 419
99.05, 420
99.05, 421
99.05, 422
99.06, 423
99.06, 424
99.06, 425
99.06, 426
99.07, 427
99.07, 428
99.07, 429
99.07, 430
99.07, 431
99.08, 432
99.08, 433
99.08, 434
99.08, 435
99.08, 436
99.09, 437
99.09, 438
99.09, 439
99.09, 440
99.1, 441
99.1, 442
99.1, 443
99.1, 444
99.1, 445
99.11, 446
99.11, 447
99.11, 448
99.11, 449
99.11, 450
99.12, 451
99.12, 452
99.12, 453
99.12, 454
99.12, 455
99.12, 456
99.13, 457
99.13, 458
99.13, 459
99.13, 460
99.13, 461
99.14, 462
99.14, 463
99.14, 464
99.14, 465
99.14, 466
99.15, 467
99.15, 468
99.15, 469
99.15, 470
99.15, 471
99.15, 472
99.16, 473
99.16, 474
99.16, 475
99.16, 476
99.16, 477
99.16, 478
99.17, 479
99.17, 480
99.17, 481
99.17, 482
99.17, 483
99.18, 484
99.18, 485
99.18, 486
99.18, 487
99.18, 488
99.18, 489
99.19, 490
99.19, 491
99.19, 492
99.19, 493
99.19, 494
99.19, 495
99.2, 496
99.2, 497
99.2, 498
99.2, 499
99.2, 500
99.2, 501
99.2, 502
99.21, 503
99.21, 504
99.21, 505
99.21, 506
99.21, 507
99.21, 508
99.22, 509
99.22, 510
99.22, 511
99.22, 512
99.22, 513
99.22, 514
99.22, 515
99.23, 516
99.23, 517
99.23, 518
99.23, 519
99.23, 520
99.23, 521
99.24, 522
99.24, 523
99.24, 524
99.24, 525
99.24, 526
