HitRate, AccessCounter
0, 0
0, 1
0, 2
0, 3
0, 4
0, 5
14.29, 6
12.5, 7
22.22, 8
20, 9
27.27, 10
33.33, 11
38.46, 12
42.86, 13
40, 14
37.5, 15
35.29, 16
33.33, 17
31.58, 18
30, 19
28.57, 20
27.27, 21
26.09, 22
29.17, 23
28, 24
30.77, 25
29.63, 26
28.57, 27
27.59, 28
26.67, 29
29.03, 30
28.13, 31
27.27, 32
26.47, 33
25.71, 34
25, 35
24.32, 36
23.68, 37
23.08, 38
25, 39
26.83, 40
26.19, 41
25.58, 42
27.27, 43
28.89, 44
30.43, 45
31.91, 46
33.33, 47
32.65, 48
34, 49
35.29, 50
34.62, 51
33.96, 52
35.19, 53
34.55, 54
33.93, 55
35.09, 56
34.48, 57
35.59, 58
36.67, 59
37.7, 60
38.71, 61
39.68, 62
39.06, 63
38.46, 64
37.88, 65
37.31, 66
36.76, 67
36.23, 68
35.71, 69
35.21, 70
34.72, 71
35.62, 72
35.14, 73
34.67, 74
34.21, 75
33.77, 76
33.33, 77
32.91, 78
32.5, 79
32.1, 80
32.93, 81
32.53, 82
32.14, 83
31.76, 84
31.4, 85
32.18, 86
32.95, 87
32.58, 88
33.33, 89
32.97, 90
32.61, 91
33.33, 92
32.98, 93
33.68, 94
33.33, 95
32.99, 96
33.67, 97
34.34, 98
35, 99
35.64, 100
36.27, 101
35.92, 102
36.54, 103
36.19, 104
36.79, 105
37.38, 106
37.04, 107
36.7, 108
37.27, 109
37.84, 110
38.39, 111
38.94, 112
39.47, 113
39.13, 114
39.66, 115
40.17, 116
40.68, 117
41.18, 118
41.67, 119
42.15, 120
42.62, 121
42.28, 122
42.74, 123
42.4, 124
42.06, 125
42.52, 126
42.97, 127
43.41, 128
43.85, 129
43.51, 130
43.94, 131
44.36, 132
44.03, 133
43.7, 134
43.38, 135
43.07, 136
42.75, 137
43.17, 138
42.86, 139
43.26, 140
43.66, 141
44.06, 142
43.75, 143
43.45, 144
43.84, 145
44.22, 146
44.59, 147
44.97, 148
45.33, 149
45.7, 150
46.05, 151
46.41, 152
46.75, 153
47.1, 154
47.44, 155
47.77, 156
48.1, 157
48.43, 158
48.12, 159
48.45, 160
48.77, 161
48.47, 162
48.78, 163
49.09, 164
49.4, 165
49.7, 166
50, 167
50.3, 168
50.59, 169
50.88, 170
50.58, 171
50.87, 172
51.15, 173
51.43, 174
51.7, 175
51.98, 176
52.25, 177
52.51, 178
52.78, 179
52.49, 180
52.2, 181
51.91, 182
51.63, 183
51.35, 184
51.61, 185
51.87, 186
51.6, 187
51.32, 188
51.58, 189
51.31, 190
51.04, 191
51.3, 192
51.55, 193
51.79, 194
52.04, 195
52.28, 196
52.53, 197
52.76, 198
53, 199
53.23, 200
53.47, 201
53.69, 202
53.92, 203
54.15, 204
53.88, 205
54.11, 206
54.33, 207
54.55, 208
54.76, 209
54.98, 210
55.19, 211
55.4, 212
55.61, 213
55.35, 214
55.09, 215
55.3, 216
55.05, 217
54.79, 218
55, 219
54.75, 220
54.5, 221
54.26, 222
54.02, 223
53.78, 224
53.98, 225
54.19, 226
54.39, 227
54.15, 228
53.91, 229
54.11, 230
54.31, 231
54.51, 232
54.27, 233
54.47, 234
54.24, 235
54.43, 236
54.62, 237
54.81, 238
55, 239
55.19, 240
55.37, 241
55.14, 242
55.33, 243
55.51, 244
55.28, 245
55.06, 246
55.24, 247
55.02, 248
55.2, 249
54.98, 250
54.76, 251
54.55, 252
54.33, 253
54.12, 254
53.91, 255
53.7, 256
53.49, 257
53.67, 258
53.46, 259
53.64, 260
53.82, 261
53.61, 262
53.41, 263
53.21, 264
53.01, 265
52.81, 266
52.61, 267
52.42, 268
52.22, 269
52.4, 270
52.57, 271
52.38, 272
52.55, 273
52.36, 274
52.54, 275
52.35, 276
52.16, 277
51.97, 278
51.79, 279
51.96, 280
51.77, 281
51.59, 282
51.76, 283
51.58, 284
51.4, 285
51.22, 286
51.04, 287
50.87, 288
51.03, 289
51.2, 290
51.37, 291
51.19, 292
51.02, 293
50.85, 294
50.68, 295
50.51, 296
50.67, 297
50.84, 298
51, 299
51.16, 300
51.32, 301
51.16, 302
50.99, 303
51.15, 304
50.98, 305
51.14, 306
51.3, 307
51.46, 308
51.61, 309
51.77, 310
51.6, 311
51.44, 312
51.27, 313
51.43, 314
51.27, 315
51.42, 316
51.26, 317
