HitRate, AccessCounter
0, 0
0, 1
0, 2
0, 3
0, 4
0, 5
0, 6
0, 7
0, 8
0, 9
0, 10
0, 11
0, 12
0, 13
0, 14
0, 15
0, 16
0, 17
0, 18
0, 19
0, 20
0, 21
0, 22
0, 23
0, 24
0, 25
0, 26
0, 27
0, 28
0, 29
0, 30
0, 31
0, 32
0, 33
0, 34
0, 35
0, 36
0, 37
0, 38
0, 39
0, 40
0, 41
0, 42
0, 43
0, 44
2.17, 45
2.13, 46
2.08, 47
2.04, 48
2, 49
1.96, 50
1.92, 51
1.89, 52
1.85, 53
1.82, 54
1.79, 55
1.75, 56
1.72, 57
3.39, 58
3.33, 59
3.28, 60
3.23, 61
3.17, 62
3.13, 63
3.08, 64
3.03, 65
2.99, 66
2.94, 67
2.9, 68
2.86, 69
2.82, 70
2.78, 71
2.74, 72
2.7, 73
2.67, 74
2.63, 75
2.6, 76
2.56, 77
2.53, 78
2.5, 79
2.47, 80
2.44, 81
2.41, 82
2.38, 83
2.35, 84
2.33, 85
2.3, 86
2.27, 87
2.25, 88
2.22, 89
2.2, 90
2.17, 91
2.15, 92
2.13, 93
2.11, 94
2.08, 95
2.06, 96
2.04, 97
2.02, 98
2, 99
1.98, 100
1.96, 101
1.94, 102
1.92, 103
1.9, 104
1.89, 105
1.87, 106
1.85, 107
1.83, 108
1.82, 109
1.8, 110
1.79, 111
1.77, 112
1.75, 113
1.74, 114
1.72, 115
1.71, 116
1.69, 117
2.52, 118
2.5, 119
2.48, 120
2.46, 121
2.44, 122
2.42, 123
2.4, 124
2.38, 125
2.36, 126
2.34, 127
2.33, 128
2.31, 129
2.29, 130
2.27, 131
2.26, 132
2.24, 133
2.22, 134
2.21, 135
2.19, 136
2.17, 137
2.16, 138
2.14, 139
2.13, 140
2.11, 141
2.1, 142
2.08, 143
2.07, 144
2.05, 145
2.04, 146
2.03, 147
2.01, 148
2, 149
1.99, 150
1.97, 151
1.96, 152
1.95, 153
1.94, 154
1.92, 155
1.91, 156
1.9, 157
1.89, 158
1.88, 159
1.86, 160
1.85, 161
1.84, 162
1.83, 163
2.42, 164
2.41, 165
2.4, 166
2.38, 167
2.37, 168
2.35, 169
2.34, 170
2.33, 171
2.31, 172
2.3, 173
2.29, 174
2.27, 175
2.26, 176
2.25, 177
2.23, 178
2.22, 179
2.21, 180
2.2, 181
2.19, 182
2.17, 183
2.16, 184
2.15, 185
2.14, 186
2.13, 187
2.12, 188
2.11, 189
2.09, 190
2.08, 191
2.07, 192
2.06, 193
2.05, 194
2.04, 195
2.03, 196
2.02, 197
2.01, 198
2, 199
1.99, 200
1.98, 201
1.97, 202
1.96, 203
1.95, 204
1.94, 205
1.93, 206
1.92, 207
1.91, 208
2.38, 209
2.37, 210
2.36, 211
2.35, 212
2.34, 213
2.33, 214
2.31, 215
2.3, 216
2.29, 217
2.28, 218
2.27, 219
2.26, 220
2.25, 221
2.24, 222
2.23, 223
2.22, 224
2.21, 225
2.2, 226
2.19, 227
2.18, 228
2.17, 229
2.16, 230
2.16, 231
2.15, 232
2.14, 233
2.13, 234
2.12, 235
2.11, 236
2.1, 237
2.09, 238
2.08, 239
2.07, 240
2.07, 241
2.06, 242
2.05, 243
2.04, 244
2.03, 245
2.43, 246
2.42, 247
2.41, 248
2.4, 249
2.39, 250
2.38, 251
2.37, 252
2.36, 253
2.35, 254
2.34, 255
2.33, 256
2.33, 257
2.32, 258
2.31, 259
2.3, 260
2.29, 261
2.28, 262
2.27, 263
2.26, 264
2.26, 265
2.25, 266
2.24, 267
2.23, 268
2.22, 269
2.21, 270
2.57, 271
2.93, 272
2.92, 273
2.91, 274
3.26, 275
3.25, 276
3.24, 277
3.23, 278
3.21, 279
3.2, 280
3.19, 281
3.18, 282
3.17, 283
3.51, 284
3.5, 285
3.48, 286
3.47, 287
3.81, 288
3.79, 289
3.78, 290
3.77, 291
3.75, 292
3.74, 293
3.73, 294
3.72, 295
3.7, 296
3.69, 297
3.68, 298
3.67, 299
3.65, 300
3.64, 301
3.63, 302
3.62, 303
3.61, 304
3.59, 305
3.58, 306
3.9, 307
3.88, 308
3.87, 309
3.86, 310
3.85, 311
3.83, 312
3.82, 313
3.81, 314
3.8, 315
3.79, 316
3.77, 317
3.76, 318
3.75, 319
3.74, 320
3.73, 321
4.02, 322
4.01, 323
4, 324
3.99, 325
3.98, 326
