HitRate, AccessCounter
0, 0
50, 1
33.33, 2
50, 3
60, 4
66.67, 5
71.43, 6
75, 7
77.78, 8
80, 9
81.82, 10
83.33, 11
84.62, 12
85.71, 13
86.67, 14
87.5, 15
88.24, 16
88.89, 17
89.47, 18
90, 19
90.48, 20
90.91, 21
91.3, 22
91.67, 23
92, 24
92.31, 25
92.59, 26
92.86, 27
93.1, 28
93.33, 29
93.55, 30
93.75, 31
93.94, 32
94.12, 33
94.29, 34
94.44, 35
94.59, 36
94.74, 37
94.87, 38
95, 39
95.12, 40
95.24, 41
95.35, 42
95.45, 43
95.56, 44
95.65, 45
95.74, 46
95.83, 47
95.92, 48
96, 49
96.08, 50
96.15, 51
96.23, 52
96.3, 53
96.36, 54
96.43, 55
96.49, 56
96.55, 57
96.61, 58
96.67, 59
96.72, 60
96.77, 61
96.83, 62
96.88, 63
96.92, 64
96.97, 65
97.01, 66
97.06, 67
97.1, 68
97.14, 69
97.18, 70
97.22, 71
97.26, 72
97.3, 73
97.33, 74
97.37, 75
97.4, 76
97.44, 77
97.47, 78
97.5, 79
97.53, 80
97.56, 81
97.59, 82
97.62, 83
97.65, 84
97.67, 85
97.7, 86
97.73, 87
97.75, 88
97.78, 89
97.8, 90
97.83, 91
97.85, 92
97.87, 93
97.89, 94
97.92, 95
97.94, 96
97.96, 97
97.98, 98
98, 99
98.02, 100
98.04, 101
98.06, 102
98.08, 103
98.1, 104
98.11, 105
98.13, 106
98.15, 107
98.17, 108
98.18, 109
98.2, 110
98.21, 111
98.23, 112
98.25, 113
98.26, 114
98.28, 115
98.29, 116
98.31, 117
98.32, 118
98.33, 119
98.35, 120
98.36, 121
98.37, 122
98.39, 123
98.4, 124
98.41, 125
98.43, 126
98.44, 127
98.45, 128
98.46, 129
98.47, 130
98.48, 131
98.5, 132
98.51, 133
98.52, 134
98.53, 135
98.54, 136
98.55, 137
98.56, 138
98.57, 139
98.58, 140
98.59, 141
98.6, 142
98.61, 143
98.62, 144
98.63, 145
98.64, 146
98.65, 147
98.66, 148
98.67, 149
98.68, 150
98.68, 151
98.69, 152
98.7, 153
98.71, 154
98.72, 155
98.73, 156
98.73, 157
98.74, 158
98.75, 159
98.76, 160
98.77, 161
98.77, 162
98.78, 163
98.79, 164
98.8, 165
98.8, 166
98.81, 167
98.82, 168
98.82, 169
98.83, 170
98.84, 171
98.84, 172
98.85, 173
98.86, 174
98.86, 175
98.87, 176
98.88, 177
98.88, 178
98.89, 179
98.9, 180
98.9, 181
98.91, 182
98.91, 183
98.92, 184
98.92, 185
98.93, 186
98.94, 187
98.94, 188
98.95, 189
98.95, 190
98.96, 191
98.96, 192
98.97, 193
98.97, 194
98.98, 195
98.98, 196
98.99, 197
98.99, 198
99, 199
99, 200
99.01, 201
99.01, 202
99.02, 203
99.02, 204
99.03, 205
99.03, 206
99.04, 207
99.04, 208
99.05, 209
99.05, 210
99.06, 211
99.06, 212
99.07, 213
99.07, 214
99.07, 215
99.08, 216
99.08, 217
99.09, 218
99.09, 219
99.1, 220
99.1, 221
99.1, 222
99.11, 223
99.11, 224
99.12, 225
99.12, 226
99.12, 227
99.13, 228
99.13, 229
99.13, 230
99.14, 231
99.14, 232
99.15, 233
99.15, 234
99.15, 235
99.16, 236
99.16, 237
99.16, 238
99.17, 239
99.17, 240
99.17, 241
99.18, 242
99.18, 243
99.18, 244
99.19, 245
99.19, 246
99.19, 247
99.2, 248
99.2, 249
99.2, 250
99.21, 251
99.21, 252
99.21, 253
99.22, 254
99.22, 255
99.22, 256
99.22, 257
99.23, 258
99.23, 259
99.23, 260
99.24, 261
99.24, 262
99.24, 263
99.25, 264
99.25, 265
99.25, 266
99.25, 267
99.26, 268
99.26, 269
99.26, 270
99.26, 271
99.27, 272
99.27, 273
99.27, 274
99.28, 275
99.28, 276
99.28, 277
99.28, 278
99.29, 279
99.29, 280
99.29, 281
99.29, 282
99.3, 283
99.3, 284
99.3, 285
98.95, 286
98.96, 287
98.96, 288
98.97, 289
98.97, 290
98.97, 291
98.98, 292
98.98, 293
98.98, 294
98.99, 295
98.99, 296
98.99, 297
99, 298
99, 299
99, 300
99.01, 301
99.01, 302
99.01, 303
99.02, 304
99.02, 305
99.02, 306
99.03, 307
99.03, 308
99.03, 309
99.04, 310
99.04, 311
99.04, 312
99.04, 313
99.05, 314
99.05, 315
99.05, 316
99.06, 317
99.06, 318
99.06, 319
99.07, 320
99.07, 321
99.07, 322
99.07, 323
99.08, 324
99.08, 325
99.08, 326
99.09, 327
99.09, 328
99.09, 329
99.09, 330
99.1, 331
99.1, 332
99.1, 333
99.1, 334
99.11, 335
99.11, 336
99.11, 337
99.12, 338
99.12, 339
99.12, 340
99.12, 341
99.13, 342
99.13, 343
99.13, 344
99.13, 345
99.14, 346
99.14, 347
99.14, 348
99.14, 349
99.15, 350
99.15, 351
99.15, 352
99.15, 353
99.15, 354
99.16, 355
99.16, 356
99.16, 357
99.16, 358
99.17, 359
99.17, 360
99.17, 361
99.17, 362
99.18, 363
99.18, 364
99.18, 365
99.18, 366
99.18, 367
99.19, 368
99.19, 369
99.19, 370
99.19, 371
99.2, 372
99.2, 373
99.2, 374
99.2, 375
99.2, 376
99.21, 377
99.21, 378
99.21, 379
99.21, 380
99.21, 381
99.22, 382
99.22, 383
99.22, 384
99.22, 385
99.22, 386
99.23, 387
99.23, 388
99.23, 389
99.23, 390
99.23, 391
99.24, 392
99.24, 393
99.24, 394
99.24, 395
99.24, 396
99.25, 397
99.25, 398
99.25, 399
99.25, 400
99.25, 401
99.26, 402
99.26, 403
99.26, 404
99.26, 405
99.26, 406
99.26, 407
99.27, 408
99.27, 409
99.27, 410
99.27, 411
99.27, 412
99.28, 413
99.28, 414
99.28, 415
99.28, 416
99.28, 417
99.28, 418
99.29, 419
99.29, 420
99.29, 421
99.29, 422
99.29, 423
99.29, 424
99.3, 425
99.3, 426
99.3, 427
99.3, 428
99.3, 429
99.3, 430
99.31, 431
99.31, 432
99.31, 433
99.31, 434
99.31, 435
99.31, 436
99.32, 437
99.32, 438
99.32, 439
99.32, 440
99.32, 441
99.32, 442
99.32, 443
99.33, 444
99.33, 445
99.33, 446
99.33, 447
99.33, 448
99.33, 449
99.33, 450
99.34, 451
99.34, 452
99.34, 453
99.34, 454
99.34, 455
99.34, 456
99.34, 457
99.35, 458
99.35, 459
99.35, 460
99.35, 461
99.35, 462
99.35, 463
99.35, 464
99.36, 465
99.36, 466
99.36, 467
99.36, 468
99.36, 469
99.36, 470
99.36, 471
99.37, 472
99.37, 473
99.37, 474
99.37, 475
99.37, 476
99.37, 477
99.37, 478
99.38, 479
99.38, 480
99.38, 481
99.38, 482
99.38, 483
99.38, 484
99.38, 485
99.38, 486
99.39, 487
99.39, 488
99.39, 489
99.39, 490
99.39, 491
99.39, 492
99.39, 493
99.39, 494
99.4, 495
99.4, 496
99.4, 497
99.4, 498
99.4, 499
99.4, 500
99.4, 501
99.4, 502
99.4, 503
99.41, 504
99.41, 505
99.41, 506
99.41, 507
99.41, 508
99.41, 509
99.41, 510
99.41, 511
99.42, 512
99.42, 513
99.42, 514
99.42, 515
99.42, 516
99.42, 517
99.42, 518
99.42, 519
99.42, 520
99.43, 521
99.43, 522
99.43, 523
99.43, 524
99.43, 525
99.43, 526
